,Date,User,Tweet
0,2022-08-20 08:41:19+00:00,Koramil0725,Anggota Koramil 07/Ngrampal melaksanakan Patroli  dalam rangka Pemberlakuan Pembatasan Kegiatan Masyarakat ( PPKM Darurat  Level 1 ) di wilayah kecamatan Ngrampal kab Sragen https://t.co/jgcYv18483
1,2022-08-20 08:39:43+00:00,elisaapphire,RT @kochengfs: 🐈‍⬛ PPKM (planga plongo kaya monyet) https://t.co/rgCKkU2Tko
2,2022-08-20 08:21:36+00:00,Koramil0725,"Telah dilaksanakan giat operasi Yustisi/Penyekatan  Pelaksanaan *PPKM LEVEL 1* dalam membatasi mobilitasi perpindahan masyarakat 
oleh Polsek Mondokan dan Anggota Koramil 14/Mondokan diwilayah Kecamatan Mondokan. https://t.co/yVazToMVcg"
3,2022-08-20 08:17:55+00:00,doydoymadoy,Kirain udah ga ada PPKM https://t.co/vjwrLYyWu2
4,2022-08-20 08:12:12+00:00,ffairyspace,RT @kochengfs: 🐈‍⬛ PPKM (planga plongo kaya monyet) https://t.co/rgCKkU2Tko
5,2022-08-20 08:05:05+00:00,astieen,RT @kochengfs: 🐈‍⬛ PPKM (planga plongo kaya monyet) https://t.co/rgCKkU2Tko
6,2022-08-20 07:58:53+00:00,KodimKarangany1,"KARANGANYAR - Sabtu 20 Agustus 2022 Babinsa Desa Karangbangun Serka Muhari anggota Koramil 07/Matesih melaksanakan Patroli PPKM Level 3 di area Parkir Astana Giribangun menghimbau dan membagikan masker kepada masyarakat, untuk selalu mematuhi protokol kesehatan dengan 5M. https://t.co/eumcnN7NUw"
7,2022-08-20 07:58:45+00:00,KodimKarangany1,"KARANGANYAR - Sabtu 20 Agustus 2022 Babinsa Desa Karangbangun Serka Muhari anggota Koramil 07/Matesih melaksanakan Patroli PPKM Level 3 di area Parkir Astana Giribangun menghimbau dan membagikan masker kepada masyarakat, untuk selalu mematuhi protokol kesehatan dengan 5M. https://t.co/BZUQ5yfYA1"
8,2022-08-20 07:58:39+00:00,KodimKarangany1,"KARANGANYAR - Sabtu 20 Agustus 2022 Babinsa Desa Karangbangun Serka Muhari anggota Koramil 07/Matesih melaksanakan Patroli PPKM Level 3 di area Parkir Astana Giribangun menghimbau dan membagikan masker kepada masyarakat, untuk selalu mematuhi protokol kesehatan dengan 5M. https://t.co/Al2NInKmK3"
9,2022-08-20 07:58:30+00:00,KoramilKedawung,"Telah dilaksanakan giat operasi Yustisi/Penyekatan  Pelaksanaan *PPKM LEVEL 1* dalam membatasi mobilitasi perpindahan masyarakat 
oleh Polsek Mondokan dan Anggota Koramil 14/Mondokan diwilayah Kecamatan Mondokan. https://t.co/CvmvuH3eZT"
10,2022-08-20 07:55:11+00:00,hwaiting,RT @kochengfs: 🐈‍⬛ PPKM (planga plongo kaya monyet) https://t.co/rgCKkU2Tko
11,2022-08-20 07:51:38+00:00,KodimKarangany1,KARANGANYAR - Sabtu 20 Agustus 2022 Serma Kusaini anggota Koramil 01/Karanganyar bersama anggota Satpol PP Kec. Karanganyar melaksanakan Patroli pendisiplinan 5M pada PPKM Level 3 untuk mencegah penyebaran Covid-19 kepada pedagang/pengunjung di Pasar Jungke kecamatan Karanganyar. https://t.co/LvScYGicou
12,2022-08-20 07:51:32+00:00,KodimKarangany1,KARANGANYAR - Sabtu 20 Agustus 2022 Serma Kusaini anggota Koramil 01/Karanganyar bersama anggota Satpol PP Kec. Karanganyar melaksanakan Patroli pendisiplinan 5M pada PPKM Level 3 untuk mencegah penyebaran Covid-19 kepada pedagang/pengunjung di Pasar Jungke kecamatan Karanganyar. https://t.co/Y2k6FNo956
13,2022-08-20 07:51:26+00:00,KodimKarangany1,KARANGANYAR - Sabtu 20 Agustus 2022 Serma Kusaini anggota Koramil 01/Karanganyar bersama anggota Satpol PP Kec. Karanganyar melaksanakan Patroli pendisiplinan 5M pada PPKM Level 3 untuk mencegah penyebaran Covid-19 kepada pedagang/pengunjung di Pasar Jungke kecamatan Karanganyar. https://t.co/ydEM76VY5r
14,2022-08-20 07:51:21+00:00,Macha9578,RT @kochengfs: 🐈‍⬛ PPKM (planga plongo kaya monyet) https://t.co/rgCKkU2Tko
15,2022-08-20 07:51:19+00:00,KodimKarangany1,KARANGANYAR - Sabtu 20 Agustus 2022 Serma Kusaini anggota Koramil 01/Karanganyar bersama anggota Satpol PP Kec. Karanganyar melaksanakan Patroli pendisiplinan 5M pada PPKM Level 3 untuk mencegah penyebaran Covid-19 kepada pedagang/pengunjung di Pasar Jungke kecamatan Karanganyar. https://t.co/FelscnsZcG
