,Date,User,Tweet
0,2022-08-30 09:30:25+00:00,HumasPolresLB,Sudahi Pandemi Hentikan Covid-19 Dengan Program Vaksinasi https://t.co/dd0rsOVmeK
1,2022-08-30 09:30:00+00:00,XHIndonesia,Somalia dan badan-badan PBB akan tingkatkan vaksinasi COVID-19 di tengah kekeringan https://t.co/klbzYlK5bq https://t.co/DXpLHh1vEd
2,2022-08-30 09:29:55+00:00,paskotanews,"Gencar Vaksinasi, Guna Mencegah Covid-19 Serta Mendukung Presidensi G 20 Oleh Sidokkes Polres Tabanan https://t.co/Ko4Yihvusv"
3,2022-08-30 09:23:30+00:00,mediaindonesia,Program itu sejalan dengan kebutuhan Pemerintah Kota Jakarta Utara (Pemkot Jakut) untuk mengakselerasi pencapaian vaksinasi covid-19 dan imunisasi anak di lingkungan Rusunawa Marunda.  https://t.co/3VdECMxcs3
4,2022-08-30 08:57:48+00:00,DeJurnalcom,"Sukseskan Percepatan Vaksinasi , Bhabinkamtibmas Sukapura Polsek Utbar Polres Ciko Kawal Vaksin Covid 19 warga https://t.co/V4xNrfOWDI"
5,2022-08-30 08:48:05+00:00,Kodim0828,Ke Sudut Desa Vaksinasi “Door to Door” Bersama Babinsa di Wilayah Binaan https://t.co/4FGi0tR5I4 https://t.co/uobLAwKoLH
6,2022-08-30 08:42:25+00:00,Kel_Pasteur,"Giat Ibu Kasi Kesos Kel. Pasteur Kec. Sukajadi Monitoring Pelaksanaan Vaksinasi Covid-19 pada hari selasa, Tanggal 30-08-2022 https://t.co/jTiNErIALb"
7,2022-08-30 08:32:25+00:00,Linguosco,"Halo, teman-teman ada yang butuh Penerjemahan Tersumpah (Sworn Translation) oleh Penerjemah Tersumpah untuk dokumen : Sertifikat Vaksinasi COVID-19, Kartu Vaksin,  Surat Dokter, Surat Keterangan Sehat, Surat Rujukan, Catatan Medis atau dokumen kesehatan lainnya tidak ya? https://t.co/TilDPep4c7"
8,2022-08-30 08:29:34+00:00,achmadeka30,"GERAI VAKSIN POLRES BATU

Polres Batu gencar lakukan Vaksinasi covid-19 setiap hari, baik dosis pertama, kedua dan dosis ketiga atau vaksin booster. Vaksinasi dilakukan di depan kantor Mapolres Batu.
(Senin / 29-08-2022)

Facebook : Pidhumas Resbatu
Instagram : @pidhumasbatu https://t.co/8dpwjdYbr2"
9,2022-08-30 08:23:36+00:00,DikalaHujan45,"BINDA Banten Kembali gelar Vaksinasi Massal dan kali ini masyarakat Kota Cilegon yg beruntung untuk dapatkan Vaksin Covid-19, bertempat di kantor kecamatan Purwakarta, masyarakat antusias mengikuti kegiatan vaksinasi ini https://t.co/SZepHpPo3z"
10,2022-08-30 08:13:25+00:00,cianjurekspres,"Antusias warga Kecamatan Mande, Cianjur, terlihat saat BIN RI melaksanakan gebyar vaksinasi massal Covid-19 di wilayah kerja Puskesmas Mande, Selasa (30/8/2022).
https://t.co/2fjsNTdVGj"
11,2022-08-30 08:08:38+00:00,KurahKurah,"GERAI VAKSIN POLRES BATU

Polres Batu gencar lakukan Vaksinasi covid-19 setiap hari, baik dosis pertama, kedua dan dosis ketiga atau vaksin booster. Vaksinasi dilakukan di depan kantor Mapolres Batu.
(Senin / 29-08-2022)

Facebook : Pidhumas Resbatu
Instagram : @pidhumasbatu https://t.co/qtasUiymok"
12,2022-08-30 08:08:16+00:00,KurahKurah,"GERAI VAKSIN POLRES BATU

Polres Batu gencar lakukan Vaksinasi covid-19 setiap hari, baik dosis pertama, kedua dan dosis ketiga atau vaksin booster. Vaksinasi dilakukan di depan kantor Mapolres Batu.
(Senin / 29-08-2022)

Facebook : Pidhumas Resbatu
Instagram : @pidhumasbatu https://t.co/YJ50YWuqkS"
13,2022-08-30 08:04:05+00:00,SatBarat,Personil Sat Polairud Polres Bangka Barat melaksanakan giat Himbauan Kamtibmas kepada para Nelayan dan Masyarakat pesisir diseputaran Pelabuhan Pelelangan Ikan Kec. Mentok untuk selalu mematuhi protokol kesehatan dan mengikuti vaksinasi guna menekan penyebaran virus COVID-19 https://t.co/0OlwyFIKrH
14,2022-08-30 08:03:53+00:00,BuletinTV3,"Kementerian Kesihatan (KKM) menegaskan tidak berlaku lebihan bekalan vaksin COVID-19 di negara ini biarpun sambutan terhadap program vaksinasi kanak-kanak dan dos suntikan penggalak kedua kurang memberangsangkan.

https://t.co/oCuBH63iMT"
15,2022-08-30 07:52:08+00:00,Bandung_Dinkes,"@Bandung_Dinkes  berkolaborasi dgn IKA UNPAD &amp; Mayapada Hospital melakukan PCR Swab Test &amp; Vaksinasi Covid-19 1,2,3. Kegiatan dipantau Kepala Sub Koordinator Seksi Surveilans&amp; Imunisasi, Girindra Wardhana, Selasa-Rabu (30-31/08) di Apartement Newton. @sonyadam911 @humasbandung_ https://t.co/yn0mFuxaxH"
16,2022-08-30 07:36:33+00:00,_munteanu,"Menkes minta laju vaksinasi Covid-19 terus digenjot #EndemiCovid
#IndonesiaSehatIndonesiaHebat
#BeritaCovid
#PPKM https://t.co/j8KIqUCo6P"
17,2022-08-30 07:32:01+00:00,HamkaToni,"@infoPLK Yuk kita putus mata rantai penyebaran COVID-19 di Kalimantan Tengah dengan ikut Vaksinasi 🇲🇨😇
#Vaksinasi https://t.co/WoCVs1IXWm"
18,2022-08-30 07:31:46+00:00,Polsek_MBengkal,"Berbagai hoax terkait vaksin Covid-19 yang beredar di dunia maya, sehingga menyebabkan rendahnya minat masyarakat untuk mengikuti program vaksinasi. 

Sumber: https://t.co/7QvLKigPUV https://t.co/p35IEDHF9i"
19,2022-08-30 07:31:30+00:00,shamshuzi,Vaksinasi adalah kunci utama untuk melindungi diri sendiri dan orang terdekat dari bahaya Covid-19 varian Omicron BA.4 dan BA.5. #AyoVaksinCovid19 https://t.co/Nnk79xVs5U
20,2022-08-30 07:30:05+00:00,shamshuzi,"Vaksinasi Covid-19 berguna untuk kekebalan tubuh sehingga dapat mencegah penyebaran virus covid-19. Bagi yang sudah divaksin, jangan lupa untuk tetap menerapkan protokol kesehatan mengingat ada varian baru bernama Omicron BA.4 dan BA.5. #AyoVaksinCovid19 https://t.co/8mXsQr6cdc"
21,2022-08-30 07:17:53+00:00,FarahMaulidya7,Lindungi dirimu dan keluargamu dari bahaya Covid-19 dengan Vaksinasi https://t.co/EmktRImGxy
22,2022-08-30 07:15:21+00:00,IntanAyuArimbi,"Bagi yang sudah menerima booster vaksinasi, tidak lagi harus melakukan test covid 19 jika naik pesawat. https://t.co/TxDe2f96Ja"
23,2022-08-30 07:13:49+00:00,mohammedarc1971,RT @RWinfinance: @ShahrazaAfan Jelas ada hubungannya antara 5G dgn Covid (Copet 19) yg menyebarkan Gejala Flu Berat sbg Covid yang diperkua…
24,2022-08-30 06:56:15+00:00,putraherlam24,"GERAI VAKSIN POLRES BATU

Polres Batu gencar lakukan Vaksinasi covid-19 setiap hari, baik dosis pertama, kedua dan dosis ketiga atau vaksin booster. Vaksinasi dilakukan di depan kantor Mapolres Batu.
(Senin / 29-08-2022)

Facebook : Pidhumas Resbatu
Instagram : @pidhumasbatu https://t.co/MK5Rv6fikE"
25,2022-08-30 06:48:54+00:00,pendimpati0718,"Serma Kusaeri Babinsa Pagerharjo Koramil Koramil 07/Wedarijaksa Terus bersinergi dalam penanggulangan penyebaran covid-19 diwilayah binaan.

Mulai dari kegiatan vaksinasi serta Himbauan Penerapan Prokes Kepada masyarakat terus dilakukan oleh  Babinsa bersama instansi terkait. https://t.co/Uh9OA6crjH"
26,2022-08-30 06:46:51+00:00,HamkaToni,"Yuk kita putus mata rantai penyebaran COVID-19 di Kalimantan Tengah dengan ikut Vaksinasi 🇲🇨😇
#Vaksinasi https://t.co/RQsoqZvioU"
27,2022-08-30 06:42:35+00:00,Riau1Official,"Di Riau, Baru 59 Persen Lansia yang Divaksin Dosis Kedua: https://t.co/fvfXioYa49 - ;Berdasarkan pengakuan Kepala Dinas Kesehatan (Diskes) Provinsi Riau, Zainal Arifin capaian vaksinasi Covid-19 di Riau terus meningkat. gigih1 Hinga tanggal 29 Agustus… https://t.co/GkTUB9ACAs https://t.co/WBhB7G6N7b"
28,2022-08-30 06:37:52+00:00,hihoho61249645,@virusketik Vaksinasi booster sangat membantu melawan varian Covid 19.
29,2022-08-30 06:24:00+00:00,HumasPolsekPRaj,"Wujudkan Masyarakat Yang Sehat dan Produktif Dengan Vaksinasi Covid-19

#ayovaksin
#vaksinitusehat
@poldasumaterautara https://t.co/edPAyNzKWx"
30,2022-08-30 06:22:59+00:00,HumasPolsekPRaj,"Wujudkan Masyarakat Yang Sehat dan Produktif Dengan Vaksinasi Covid-19

#ayovaksin
#vaksinitusehat
@poldasumaterautara https://t.co/cusc8EuTIs"
31,2022-08-30 06:02:05+00:00,forjakeu,"RT @kalla_jengking: Pandemi Belum Berakhir, Tetap Patuhi Prokes dan Segera Lakukan Vaksinasi Booster

Pandemi Covid-19 belum sepenuhnya ber…"
32,2022-08-30 06:01:00+00:00,forjakeu,"RT @Anggita_lung: Kepala Daerah harus perketat pengawasan Prokes dan  cakupan vaksinasi diperluas.
Hal  ini disampaikan satgas penanganan c…"
33,2022-08-30 06:00:20+00:00,forjakeu,RT @KangCendol_33: Yupz setuju bahwa semua kepala daerah harus turun dan mengawasi secara ketat pelaksanaan Prokes dan penyebaran vaksinasi…
34,2022-08-30 06:00:04+00:00,forjakeu,RT @garuda080: Satgas penanganan Covid-19 meminta seluruh kepala daerah di seluruh Indonesia untuk kembali menggalakan prokes dan memperlua…
35,2022-08-30 05:59:48+00:00,forjakeu,"RT @catatankaqihati: Harus dnk, jangan kendor.
Disiplin prokes harus diperketat lg dr tingkat rumah. 
Dibutuhkan kesadaran agar prokes dn p…"
36,2022-08-30 05:59:05+00:00,KomatKamiit,RT @KangCendol_33: Yupz setuju bahwa semua kepala daerah harus turun dan mengawasi secara ketat pelaksanaan Prokes dan penyebaran vaksinasi…
37,2022-08-30 05:56:34+00:00,KomatKamiit,RT @garuda080: Satgas penanganan Covid-19 meminta seluruh kepala daerah di seluruh Indonesia untuk kembali menggalakan prokes dan memperlua…
38,2022-08-30 05:56:25+00:00,KomatKamiit,"RT @Anggita_lung: Kepala Daerah harus perketat pengawasan Prokes dan  cakupan vaksinasi diperluas.
Hal  ini disampaikan satgas penanganan c…"
39,2022-08-30 05:55:54+00:00,KomatKamiit,"RT @forjakeu: Satgas: Kepala Daerah Harus Perketat Pengawasan Prokes, Cakupan Vaksinasi Covid-19 Diperluas

Satgas Covid-19 meminta seluruh…"
